"","user","date.new","date.is_weekend","nonsocial_usage","social_usage","steps_total","valence"
"304",11944,"2020-03-20","0",NA,NA,NA,-1
"305",11944,"2020-03-21","1",NA,NA,220,-1
"306",11944,"2020-03-22","1",3019,13107,2971,-0.666666666666667
"307",11944,"2020-03-23","0",4720,8606,2030,-0.333333333333333
"308",11944,"2020-03-24","0",1176,2299,0,0
"309",11944,"2020-03-25","0",NA,NA,58,-0.5
"310",11944,"2020-03-26","0",NA,NA,NA,-1
"311",11944,"2020-03-27","0",3792,5918,1787,0
"312",11944,"2020-03-28",NA,NA,NA,NA,NA
"313",11944,"2020-03-29",NA,NA,NA,NA,NA
"314",11944,"2020-03-30",NA,NA,NA,NA,NA
"315",11944,"2020-03-31",NA,NA,NA,NA,NA
"316",11944,"2020-04-01",NA,NA,NA,NA,NA
"317",11944,"2020-04-02",NA,NA,NA,NA,NA
"318",11944,"2020-04-03",NA,60,1340,NA,NA
"319",11944,"2020-04-04",NA,2514,7291,NA,NA
"320",11944,"2020-04-05",NA,NA,NA,NA,NA
"321",11944,"2020-04-06",NA,NA,NA,NA,NA
"322",11944,"2020-04-07",NA,NA,NA,NA,NA
"323",11944,"2020-04-08",NA,NA,NA,NA,NA
"324",11944,"2020-04-09",NA,NA,NA,NA,NA
"325",11944,"2020-04-10",NA,2721,3250,NA,NA
"326",11944,"2020-04-11",NA,NA,NA,NA,NA
"327",11944,"2020-04-13",NA,NA,NA,NA,NA
"328",11944,"2020-04-14",NA,NA,NA,NA,NA
"329",11944,"2020-04-15",NA,NA,NA,NA,NA
"330",11944,"2020-04-16",NA,NA,NA,NA,NA
"331",11944,"2020-04-17",NA,NA,NA,NA,NA
"332",11944,"2020-04-18",NA,NA,NA,NA,NA
"333",11944,"2020-04-19",NA,NA,NA,NA,NA
"334",11944,"2020-04-20",NA,NA,NA,NA,NA
"335",11944,"2020-04-21",NA,NA,NA,NA,NA
"336",11944,"2020-04-22",NA,NA,NA,NA,NA
"337",11944,"2020-04-23",NA,NA,NA,NA,NA
"338",11944,"2020-04-24",NA,NA,NA,NA,NA
"339",11944,"2020-04-25",NA,NA,NA,NA,NA
"340",11944,"2020-04-26",NA,NA,NA,NA,NA
"341",13082,"2020-02-01","1",9183,764,90,NA
"342",13082,"2020-02-02","1",1055,329,10591,NA
"343",13082,"2020-02-03","0",NA,NA,NA,0
"344",13082,"2020-02-04","0",562,909,3359,1
"345",13082,"2020-02-05","0",9778,7207,4648,0
"346",13082,"2020-02-06","0",1360,15225,11742,-1
"347",13082,"2020-02-07","0",565,1843,4639,1
"348",13082,"2020-02-08","1",4426,1084,4008,0
"349",13082,"2020-02-09","1",2144,850,2955,-1
"350",13082,"2020-02-10","0",2,97,131,-0.5
"351",13082,"2020-02-11","0",58,1701,1378,0
"352",13082,"2020-02-12","0",2458,1022,5270,0
"353",13082,"2020-02-13","0",NA,NA,3889,0.5
"354",13082,"2020-02-14","0",363,2937,7661,1
"355",13082,"2020-02-15","1",2529,6028,2523,-1
"356",13082,"2020-02-16","1",983,5339,7922,0
"357",13082,"2020-02-17","0",4960,1641,7654,1
"358",13082,"2020-02-18","0",117,5429,451,NA
"359",13082,"2020-02-19","0",1386,3082,12292,NA
"360",13082,"2020-02-20","0",4719,11450,10172,NA
"361",13082,"2020-02-21","0",NA,NA,NA,NA
"362",13082,"2020-02-22","1",9294,7158,2423,NA
"363",13082,"2020-02-23","1",712,2953,2430,NA
"364",13082,"2020-02-24","0",1559,1327,2587,-1
"365",13082,"2020-02-25","0",169,625,4473,-0.6
"366",13082,"2020-02-26","0",904,2377,6296,-0.2
"367",13082,"2020-02-27","0",13886,20364,6952,0.2
"368",13082,"2020-02-28","0",1229,5745,168,0.6
"369",13082,"2020-02-29","1",334,262,10589,1
"370",13082,"2020-03-01","1",9841,5114,4008,0.5
"371",13082,"2020-03-02","0",NA,NA,1340,0
"372",13082,"2020-03-03","0",19878,1576,363,-0.333333333333333
"373",13082,"2020-03-04","0",106,1950,2226,-0.666666666666667
"374",13082,"2020-03-05","0",5628,4577,5092,-1
"375",13082,"2020-03-06","0",1821,1327,2412,-1
"376",13082,"2020-03-07","1",1159,2312,11389,-0.8
"377",13082,"2020-03-08","1",169,1193,1153,-0.6
"378",13082,"2020-03-09","0",161,2724,5716,-0.4
"379",13082,"2020-03-10","0",17538,8407,6577,-0.2
"380",13082,"2020-03-11","0",1074,2554,562,0
"381",13082,"2020-03-12","0",1714,2186,7654,1
"382",13082,"2020-03-13","0",1360,14429,8805,0.5
"383",13082,"2020-03-14","1",NA,NA,NA,0
"384",13082,"2020-03-15","1",10340,12720,166,-1
"385",13082,"2020-03-16","0",249,1237,1215,-0.833333333333333
"386",13082,"2020-03-17","0",5030,2463,1787,-0.666666666666667
"387",13082,"2020-03-18","0",NA,NA,NA,-0.5
"388",13082,"2020-03-19","0",425,1449,2806,-0.333333333333333
"389",13082,"2020-03-20","0",509,2524,766,NA
"390",13082,"2020-03-21","1",0,108,NA,NA
"391",13082,"2020-03-22","1",1864,2564,286,NA
"392",13082,"2020-03-23","0",896,5304,1833,NA
"393",13082,"2020-03-24","0",NA,NA,231,NA
"394",13082,"2020-03-25","0",NA,NA,NA,-0.5
"395",13082,"2020-03-26","0",12898,3327,1418,-1
"396",13082,"2020-03-27","0",3941,2544,1146,0
"397",13082,"2020-03-28","1",460,3077,1507,NA
"398",13082,"2020-03-29","1",NA,NA,57,NA
"399",13082,"2020-03-30","0",NA,NA,16,NA
"400",13082,"2020-03-31","0",NA,NA,58,NA
"401",13082,"2020-04-01","0",17633,2410,4166,NA
"402",13082,"2020-04-02","0",NA,NA,793,NA
"403",13082,"2020-04-03","0",11253,11360,1226,NA
"404",13082,"2020-04-04","1",NA,NA,29,NA
"405",13082,"2020-04-05","1",1031,5525,3669,NA
"406",13082,"2020-04-06","0",NA,NA,NA,-1
"407",13082,"2020-04-07","0",NA,NA,NA,-0.666666666666667
"408",13082,"2020-04-08","0",3071,28394,331,-0.333333333333333
"409",13082,"2020-04-09","0",46,3179,1813,2.22044604925031e-16
"410",13082,"2020-04-10","0",4519,7442,54,0.333333333333334
"411",13082,"2020-04-11","1",3792,4972,3409,0.666666666666667
"412",13082,"2020-04-13","0",NA,NA,NA,0.111111111111111
"413",13082,"2020-04-14","0",71,164,18,-0.444444444444444
"414",13082,"2020-04-15","0",NA,NA,42,-1
"415",13082,"2020-04-16","0",125,3467,406,-1
"416",13082,"2020-04-17","0",96,864,2330,-1
"417",13082,"2020-04-18","1",1235,17234,1221,-1
"418",13082,"2020-04-19","1",9358,7899,87,-1
"419",13082,"2020-04-20","0",NA,NA,35,-0.5
"420",13082,"2020-04-21","0",11922,2512,1833,0
"421",13082,"2020-04-22","0",458,3917,34,0.5
"422",13082,"2020-04-23","0",NA,NA,NA,1
"423",13082,"2020-04-24","0",NA,NA,48,NA
"424",13082,"2020-04-25","1",NA,NA,487,NA
"425",13082,"2020-04-26","1",20611,2953,1504,NA
"426",13676,"2020-02-01",NA,NA,NA,NA,NA
"427",13676,"2020-02-02",NA,NA,NA,NA,NA
"428",13676,"2020-02-03",NA,NA,NA,NA,NA
"429",13676,"2020-02-04",NA,NA,NA,NA,NA
"430",13676,"2020-02-05",NA,NA,NA,NA,NA
"431",13676,"2020-02-06",NA,NA,NA,NA,NA
"432",13676,"2020-02-07",NA,NA,NA,NA,NA
"433",13676,"2020-02-08",NA,NA,NA,NA,NA
"434",13676,"2020-02-09",NA,NA,NA,NA,NA
"435",13676,"2020-02-10",NA,NA,NA,NA,NA
"436",13676,"2020-02-11",NA,NA,NA,NA,NA
"437",13676,"2020-02-12",NA,NA,NA,NA,NA
"438",13676,"2020-02-13",NA,13823,5413,NA,NA
"439",13676,"2020-02-14",NA,NA,NA,NA,NA
"440",13676,"2020-02-15",NA,NA,NA,NA,NA
"441",13676,"2020-02-16",NA,NA,NA,NA,NA
"442",13676,"2020-02-17",NA,NA,NA,NA,NA
"443",13676,"2020-02-18",NA,NA,NA,NA,NA
"444",13676,"2020-02-19",NA,NA,NA,NA,NA
"445",13676,"2020-02-20",NA,NA,NA,NA,NA
"446",13676,"2020-02-21",NA,NA,NA,NA,NA
"447",13676,"2020-02-22",NA,NA,NA,NA,NA
"448",13676,"2020-02-23",NA,NA,NA,NA,NA
"449",13676,"2020-02-24","0",1354,1016,9764,NA
"450",13676,"2020-02-25","0",643,1022,4774,NA
"451",13676,"2020-02-26","0",5375,6100,7331,1
"452",13676,"2020-02-27","0",508,1230,3246,-1
"453",13676,"2020-02-28","0",3625,1551,1553,-0.5
"454",13676,"2020-02-29","1",158,410,411,-1
"455",13676,"2020-03-01","1",7498,3397,884,-1
"456",13676,"2020-03-02","0",0,97,29,-1
"457",13676,"2020-03-03","0",1446,470,8947,-1
"458",13676,"2020-03-04","0",NA,NA,NA,-1
"459",13676,"2020-03-05","0",218,574,6003,-1
"460",13676,"2020-03-06","0",NA,NA,NA,NA
"461",13676,"2020-03-07","1",2453,1996,2618,NA
"462",13676,"2020-03-08","1",3766,7741,10990,NA
"463",13676,"2020-03-09","0",2490,20680,2702,NA
"464",13676,"2020-03-10","0",3572,2813,0,NA
"465",13676,"2020-03-11","0",6342,12244,8909,NA
"466",13676,"2020-03-12","0",6,891,6202,NA
"467",13676,"2020-03-13","0",2323,3785,13897,-1
"468",13676,"2020-03-14","1",NA,NA,103,-1
"469",13676,"2020-03-15","1",207,10,103,-1
"470",13676,"2020-03-16","0",372,1967,952,-1
"471",13676,"2020-03-17","0",NA,NA,37,-1
"472",13676,"2020-03-18","0",37162,3882,0,-0.25
"473",13676,"2020-03-19","0",26,8,NA,0.5
"474",13676,"2020-03-20","0",631,3567,668,0.25
"475",13676,"2020-03-21","1",22355,6226,2062,NA
"476",13676,"2020-03-22","1",4856,4608,3225,NA
"477",13676,"2020-03-23","0",NA,NA,53,NA
"478",13676,"2020-03-24","0",137,988,268,NA
"479",13676,"2020-03-25","0",1227,6897,1432,NA
"480",13676,"2020-03-26","0",981,6082,1063,NA
"481",13676,"2020-03-27","0",1429,14589,229,NA
"482",13676,"2020-03-28","1",NA,NA,191,NA
"483",13676,"2020-03-29","1",NA,NA,351,-1
"484",13676,"2020-03-30","0",188,1418,31,-0.75
"485",13676,"2020-03-31","0",739,2512,1809,-0.5
"486",13676,"2020-04-01","0",NA,NA,NA,0
"487",13676,"2020-04-02","0",NA,NA,34,0.5
"488",13676,"2020-04-03","0",NA,NA,NA,1
"489",13676,"2020-04-04","1",NA,NA,NA,0.5
"490",13676,"2020-04-05","1",288,255,3179,0
"491",13676,"2020-04-06","0",9778,7317,3216,-0.5
"492",13676,"2020-04-07","0",953,16850,1720,-1
"493",13676,"2020-04-08","0",5472,3002,284,NA
"494",13676,"2020-04-09","0",820,2397,439,NA
"495",13676,"2020-04-10","0",245,2031,3193,NA
"496",13676,"2020-04-11","1",NA,NA,NA,NA
"497",13676,"2020-04-13","0",1882,2222,5616,NA
"498",13676,"2020-04-14","0",7131,15119,1708,NA
"499",13676,"2020-04-15","0",NA,NA,NA,0
"500",13676,"2020-04-16","0",8146,7316,2114,NA
"501",13676,"2020-04-17","0",NA,NA,557,NA
"502",13676,"2020-04-18","1",567,6330,4109,NA
