"","user","date.new","date.is_weekend","nonsocial_usage","social_usage","steps_total"
"108","1259","2020-02-23","1",978,1952,3517
"109","1259","2020-02-24","0",NA,NA,8307
"110","1259","2020-02-25","0",2102,226,NA
"111","1259","2020-02-26","0",703,2701,8543
"112","1259","2020-02-27","0",3473,1218,0
"113","1259","2020-02-28","0",NA,NA,NA
"114","1259","2020-02-29","1",6297,3359,NA
"115","1259","2020-03-01","1",7689,521,6834
"116","1259","2020-03-02","0",577,443,1731
"117","1259","2020-03-03","0",2223,4813,3438
"118","1259","2020-03-04","0",664,5274,NA
"119","1259","2020-03-05","0",NA,NA,NA
"120","1259","2020-03-06",NA,NA,NA,NA
"121","1259","2020-03-07",NA,NA,NA,NA
"122","1259","2020-03-08",NA,NA,NA,NA
"123","1259","2020-03-09",NA,NA,NA,NA
"124","1259","2020-03-10",NA,NA,NA,NA
"125","1259","2020-03-11",NA,NA,NA,NA
"126","1259","2020-03-12",NA,NA,NA,NA
"127","1259","2020-03-13",NA,NA,NA,NA
"128","1259","2020-03-14",NA,NA,NA,NA
"129","1259","2020-03-15",NA,NA,NA,NA
"130","1259","2020-03-16",NA,NA,NA,NA
"131","1259","2020-03-17",NA,NA,NA,NA
"132","1259","2020-03-18",NA,NA,NA,NA
"133","1259","2020-03-19",NA,NA,NA,NA
"134","1259","2020-03-20",NA,NA,NA,NA
"135","1259","2020-03-21",NA,NA,NA,NA
"136","1259","2020-03-22",NA,NA,NA,NA
"137","1259","2020-03-23",NA,NA,NA,NA
"138","1259","2020-03-24",NA,NA,NA,NA
"139","1259","2020-03-25",NA,NA,NA,NA
"140","1259","2020-03-26",NA,NA,NA,NA
"141","1259","2020-03-27",NA,NA,NA,NA
"142","1259","2020-03-28",NA,NA,NA,NA
"143","1259","2020-03-29",NA,NA,NA,NA
"144","1259","2020-03-30",NA,NA,NA,NA
"145","1259","2020-03-31",NA,NA,NA,NA
"146","1259","2020-04-01",NA,NA,NA,NA
"147","1259","2020-04-02",NA,NA,NA,NA
"148","1259","2020-04-03",NA,NA,NA,NA
"149","1259","2020-04-04",NA,NA,NA,NA
"150","1259","2020-04-05",NA,NA,NA,NA
"151","1259","2020-04-06",NA,NA,NA,NA
"152","1259","2020-04-07",NA,NA,NA,NA
"153","1259","2020-04-08",NA,NA,NA,NA
"154","1259","2020-04-09",NA,NA,NA,NA
"155","1259","2020-04-10",NA,NA,NA,NA
"156","1259","2020-04-11",NA,NA,NA,NA
"157","1259","2020-04-13",NA,NA,NA,NA
"158","1259","2020-04-14",NA,NA,NA,NA
"159","1259","2020-04-15",NA,NA,NA,NA
"160","1259","2020-04-16",NA,NA,NA,NA
"161","1259","2020-04-17",NA,NA,NA,NA
"162","1259","2020-04-18",NA,NA,NA,NA
"163","1259","2020-04-19",NA,NA,NA,NA
"164","1259","2020-04-20",NA,NA,NA,NA
"165","1259","2020-04-21",NA,NA,NA,NA
"166","1259","2020-04-22",NA,NA,NA,NA
"167","1259","2020-04-23",NA,NA,NA,NA
"168","1259","2020-04-24",NA,NA,NA,NA
"169","1259","2020-04-25",NA,NA,NA,NA
"170","1259","2020-04-26",NA,NA,NA,NA
"171","2680","2020-02-01",NA,NA,NA,NA
"172","2680","2020-02-02",NA,NA,NA,NA
"173","2680","2020-02-03",NA,NA,NA,NA
"174","2680","2020-02-04",NA,NA,NA,NA
"175","2680","2020-02-05",NA,NA,NA,NA
"176","2680","2020-02-06",NA,NA,NA,NA
"177","2680","2020-02-07",NA,NA,NA,NA
"178","2680","2020-02-08",NA,NA,NA,NA
"179","2680","2020-02-09",NA,NA,NA,NA
"180","2680","2020-02-10",NA,NA,NA,NA
"181","2680","2020-02-11",NA,NA,NA,NA
"182","2680","2020-02-12",NA,NA,NA,NA
"183","2680","2020-02-13",NA,NA,NA,NA
"184","2680","2020-02-14",NA,NA,NA,NA
"185","2680","2020-02-15",NA,NA,NA,NA
"186","2680","2020-02-16",NA,NA,NA,NA
"187","2680","2020-02-17","0",NA,NA,5231
"188","2680","2020-02-18","0",901,817,2937
"189","2680","2020-02-19","0",522,1136,11211
"190","2680","2020-02-20",NA,NA,NA,NA
"191","2680","2020-02-21","0",540,2658,14519
"192","2680","2020-02-22","1",1127,6238,4740
"193","2680","2020-02-23","1",2457,618,3
"194","2680","2020-02-24","0",2166,5458,2460
"195","2680","2020-02-25","0",3765,1479,NA
"196","2680","2020-02-26","0",2100,1431,421
"197","2680","2020-02-27","0",251,300,NA
"198","2680","2020-02-28","0",NA,NA,NA
"199","2680","2020-02-29","1",431,2356,16580
"200","2680","2020-03-01","1",17306,21,NA
"201","2680","2020-03-02","0",1949,7890,9445
"202","2680","2020-03-03","0",4571,12402,7095
"203","2680","2020-03-04","0",905,4485,NA
"204","2680","2020-03-05","0",1062,2765,3275
"205","2680","2020-03-06","0",562,1645,3833
"206","2680","2020-03-07","1",3150,11828,3902
"207","2680","2020-03-08","1",1702,3458,5549
"208","2680","2020-03-09","0",1116,1905,12249
"209","2680","2020-03-10","0",5065,8962,13195
"210","2680","2020-03-11","0",540,3394,4730
"211","2680","2020-03-12","0",1402,4953,9522
"212","2680","2020-03-13","0",17518,15925,1163
"213","2680","2020-03-14","1",694,34062,52
"214","2680","2020-03-15","1",1263,3932,145
"215","2680","2020-03-16","0",3967,754,2346
"216","2680","2020-03-17","0",NA,NA,928
"217","2680","2020-03-18","0",3800,4171,461
"218","2680","2020-03-19","0",1534,6043,91
"219","2680","2020-03-20","0",10446,6534,NA
"220","2680","2020-03-21","1",3288,908,2951
"221","2680","2020-03-22","1",920,1085,2
"222","2680","2020-03-23","0",3658,4160,4334
"223","2680","2020-03-24","0",2150,4003,604
"224","2680","2020-03-25","0",796,2257,2609
"225","2680","2020-03-26","0",1692,2047,699
"226","2680","2020-03-27","0",1517,5339,1499
"227","2680","2020-03-28","1",675,3077,1512
"228","2680","2020-03-29","1",NA,NA,2306
"229","2680","2020-03-30","0",6769,8892,0
"230","2680","2020-03-31","0",1196,3390,1647
"231","2680","2020-04-01","0",4679,2726,NA
"232","2680","2020-04-02","0",160,781,0
"233","2680","2020-04-03","0",NA,NA,NA
"234","2680","2020-04-04","1",3062,902,630
"235","2680","2020-04-05","1",1116,5646,NA
"236","2680","2020-04-06","0",1690,8644,1446
"237","2680","2020-04-07","0",1018,1398,0
"238","2680","2020-04-08","0",2461,5033,1437
"239","2680","2020-04-09","0",510,5225,795
"240","2680","2020-04-10","0",1293,5817,119
"241","2680","2020-04-11","1",NA,NA,914
"242","2680","2020-04-13","0",1582,994,0
"243","2680","2020-04-14","0",603,5464,1666
"244","2680","2020-04-15","0",NA,NA,2899
"245","2680","2020-04-16","0",4135,3964,202
"246","2680","2020-04-17","0",1881,3467,403
"247","2680","2020-04-18","1",2176,6646,0
"248","2680","2020-04-19","1",328,975,0
"249","2680","2020-04-20","0",NA,NA,93
"250","2680","2020-04-21","0",NA,NA,115
"251","2680","2020-04-22","0",253,1747,234
"252","2680","2020-04-23","0",362,185,770
"253","2680","2020-04-24","0",NA,NA,11
"254","2680","2020-04-25","1",503,1447,56
"255","2680","2020-04-26","1",1171,1420,0
"256","4170","2020-02-01",NA,NA,NA,NA
"257","4170","2020-02-02",NA,NA,NA,NA
"258","4170","2020-02-03",NA,NA,NA,NA
"259","4170","2020-02-04",NA,NA,NA,NA
"260","4170","2020-02-05",NA,NA,NA,NA
"261","4170","2020-02-06",NA,NA,NA,NA
"262","4170","2020-02-07",NA,NA,NA,NA
"263","4170","2020-02-08",NA,NA,NA,NA
"264","4170","2020-02-09",NA,NA,NA,NA
"265","4170","2020-02-10",NA,NA,NA,NA
"266","4170","2020-02-11",NA,NA,NA,NA
"267","4170","2020-02-12",NA,NA,NA,NA
"268","4170","2020-02-13",NA,NA,NA,NA
"269","4170","2020-02-14",NA,NA,NA,NA
"270","4170","2020-02-15",NA,NA,NA,NA
"271","4170","2020-02-16",NA,NA,NA,NA
"272","4170","2020-02-17",NA,NA,NA,NA
"273","4170","2020-02-18",NA,NA,NA,NA
"274","4170","2020-02-19",NA,NA,NA,NA
"275","4170","2020-02-20",NA,NA,NA,NA
"276","4170","2020-02-21",NA,NA,NA,NA
"277","4170","2020-02-22",NA,NA,NA,NA
"278","4170","2020-02-23",NA,NA,NA,NA
"279","4170","2020-02-24",NA,NA,NA,NA
"280","4170","2020-02-25",NA,NA,NA,NA
"281","4170","2020-02-26",NA,NA,NA,NA
"282","4170","2020-02-27",NA,NA,NA,NA
"283","4170","2020-02-28",NA,NA,NA,NA
"284","4170","2020-02-29",NA,NA,NA,NA
"285","4170","2020-03-01",NA,NA,NA,NA
"286","4170","2020-03-02",NA,NA,NA,NA
"287","4170","2020-03-03",NA,NA,NA,NA
"288","4170","2020-03-04",NA,NA,NA,NA
"289","4170","2020-03-05",NA,NA,NA,NA
"290","4170","2020-03-06",NA,NA,NA,NA
"291","4170","2020-03-07",NA,NA,NA,NA
"292","4170","2020-03-08",NA,NA,NA,NA
"293","4170","2020-03-09","0",983,5747,8784
"294","4170","2020-03-10","0",NA,NA,12915
"295","4170","2020-03-11","0",4424,2375,51
"296","4170","2020-03-12","0",1215,2809,3181
"297","4170","2020-03-13","0",27731,9276,1251
"298","4170","2020-03-14","1",NA,NA,5098
"299","4170","2020-03-15","1",NA,NA,13899
"300","4170","2020-03-16","0",NA,NA,115
"301","4170","2020-03-17","0",709,971,192
"302","4170","2020-03-18","0",2074,11990,196
"303","4170","2020-03-19","0",1190,2211,6003
"304","4170","2020-03-20","0",4980,17562,1503
"305","4170","2020-03-21","1",7270,2758,389
"306","4170","2020-03-22","1",5268,3908,1148
"307","4170","2020-03-23","0",NA,NA,109
"308","4170","2020-03-24","0",613,1484,1061
"309","4170","2020-03-25","0",333,3771,1499
"310","4170","2020-03-26","0",133,8064,NA
"311","4170","2020-03-27","0",NA,NA,69
"312","4170","2020-03-28","1",2689,5196,5078
"313","4170","2020-03-29","1",3643,5164,37
"314","4170","2020-03-30","0",2139,17134,44
"315","4170","2020-03-31","0",NA,NA,39
"316","4170","2020-04-01","0",6207,9399,8651
"317","4170","2020-04-02","0",9811,15527,2473
"318","4170","2020-04-03","0",846,3783,0
"319","4170","2020-04-04","1",NA,NA,471
"320","4170","2020-04-05","1",NA,NA,839
"321","4170","2020-04-06","0",2889,14170,1633
"322","4170","2020-04-07","0",NA,NA,NA
"323","4170","2020-04-08","0",NA,NA,48
"324","4170","2020-04-09","0",NA,NA,NA
"325","4170","2020-04-10","0",120,3003,11062
"326","4170","2020-04-11","1",372,3356,0
"327","4170","2020-04-13","0",550,643,0
"328","4170","2020-04-14","0",1668,108,634
"329","4170","2020-04-15","0",309,1113,30
"330","4170","2020-04-16","0",3824,11314,NA
"331","4170","2020-04-17","0",2528,9122,0
"332","4170","2020-04-18","1",13021,3101,74
"333","4170","2020-04-19","1",836,1085,2
"334","4170","2020-04-20","0",24674,11155,4634
"335","4170","2020-04-21","0",7679,14862,12132
"336","4170","2020-04-22","0",1693,1405,238
"337","4170","2020-04-23","0",944,5803,2479
"338","4170","2020-04-24","0",560,2770,423
"339","4170","2020-04-25","1",1643,5553,NA
"340","4170","2020-04-26","1",13720,26280,NA
"341","6050","2020-02-01","1",2612,8707,NA
"342","6050","2020-02-02","1",184,1541,127
"343","6050","2020-02-03","0",9399,10878,591
"344","6050","2020-02-04","0",785,1278,6176
"345","6050","2020-02-05","0",1323,10858,6450
"346","6050","2020-02-06","0",3658,935,1731
"347","6050","2020-02-07","0",15580,6927,103
"348","6050","2020-02-08","1",22923,1021,1074
"349","6050","2020-02-09","1",481,1541,265
"350","6050","2020-02-10","0",495,639,489
"351","6050","2020-02-11","0",852,1285,16788
"352","6050","2020-02-12","0",13761,7831,4888
"353","6050","2020-02-13","0",4776,6225,16407
"354","6050","2020-02-14","0",12541,715,0
"355","6050","2020-02-15","1",32423,5114,3989
"356","6050","2020-02-16","1",541,3634,NA
"357","6050","2020-02-17","0",309,1210,NA
"358","6050","2020-02-18","0",4679,2181,3916
"359","6050","2020-02-19","0",815,2925,9254
"360","6050","2020-02-20","0",4012,1987,9127
"361","6050","2020-02-21","0",1578,1569,2078
"362","6050","2020-02-22","1",729,4605,9308
"363","6050","2020-02-23","1",995,2881,11543
"364","6050","2020-02-24","0",999,2408,23467
"365","6050","2020-02-25","0",3658,910,1108
"366","6050","2020-02-26","0",3063,2161,0
"367","6050","2020-02-27","0",1421,3552,NA
"368","6050","2020-02-28","0",249,1529,743
"369","6050","2020-02-29","1",1818,4364,9436
"370","6050","2020-03-01","1",5678,1151,2279
"371","6050","2020-03-02","0",18844,1120,657
"372","6050","2020-03-03","0",453,120,7344
"373","6050","2020-03-04","0",NA,NA,NA
"374","6050","2020-03-05","0",221,1868,10503
"375","6050","2020-03-06","0",3431,3147,0
"376","6050","2020-03-07","1",1317,4904,3063
"377","6050","2020-03-08","1",3544,1013,4295
"378","6050","2020-03-09","0",1160,837,3898
"379","6050","2020-03-10","0",455,420,755
"380","6050","2020-03-11","0",NA,NA,8154
"381","6050","2020-03-12","0",474,266,30116
"382","6050","2020-03-13","0",4740,2545,NA
"383","6050","2020-03-14","1",NA,NA,NA
"384","6050","2020-03-15","1",422,17,0
"385","6050","2020-03-16","0",32667,5464,2261
"386","6050","2020-03-17","0",4094,8118,2685
"387","6050","2020-03-18","0",24204,6265,4295
"388","6050","2020-03-19","0",2747,9396,1449
"389","6050","2020-03-20","0",3174,2980,262
"390","6050","2020-03-21","1",14066,2524,742
"391","6050","2020-03-22","1",NA,NA,14
"392","6050","2020-03-23","0",31,870,398
"393","6050","2020-03-24","0",602,7698,725
"394","6050","2020-03-25","0",532,6082,1097
"395","6050","2020-03-26","0",1129,5515,0
"396","6050","2020-03-27","0",1162,6792,0
"397","6050","2020-03-28","1",198,11,NA
"398","6050","2020-03-29","1",4943,19822,331
"399","6050","2020-03-30","0",NA,NA,3555
"400","6050","2020-03-31","0",526,9755,NA
"401","6050","2020-04-01","0",NA,NA,4825
"402","6050","2020-04-02","0",284,317,NA
"403","6050","2020-04-03","0",NA,NA,449
"404","6050","2020-04-04","1",2727,3481,2148
"405","6050","2020-04-05","1",794,1212,4
"406","6050","2020-04-06","0",1289,2630,53
"407","6050","2020-04-07","0",30914,3023,2117
"408","6050","2020-04-08","0",1559,4079,3042
"409","6050","2020-04-09","0",1323,692,617
"410","6050","2020-04-10","0",3535,6259,NA
"411","6050","2020-04-11","1",1739,4311,152
"412","6050","2020-04-13","0",3369,986,456
"413","6050","2020-04-14","0",10690,5120,635
"414","6050","2020-04-15","0",1506,4684,69
"415","6050","2020-04-16","0",NA,NA,NA
"416","6050","2020-04-17","0",NA,NA,53
"417","6050","2020-04-18","1",NA,NA,NA
"418","6050","2020-04-19","1",21527,6604,879
"419","6050","2020-04-20","0",399,243,786
"420","6050","2020-04-21","0",NA,NA,2780
"421","6050","2020-04-22","0",NA,NA,1375
"422","6050","2020-04-23","0",NA,NA,947
"423","6050","2020-04-24","0",1074,7322,290
"424","6050","2020-04-25","1",NA,NA,1504
"425","6050","2020-04-26","1",NA,NA,318
"426","8917","2020-02-01","1",1520,1233,1000
"427","8917","2020-02-02","1",288,410,NA
"428","8917","2020-02-03","0",2045,1660,4080
"429","8917","2020-02-04","0",1004,1340,3524
"430","8917","2020-02-05","0",2013,3691,17
"431","8917","2020-02-06","0",1281,4082,5574
"432","8917","2020-02-07","0",NA,NA,NA
"433","8917","2020-02-08","1",2714,4068,1467
"434","8917","2020-02-09","1",46,545,16031
"435","8917","2020-02-10","0",5088,1721,NA
"436","8917","2020-02-11","0",3307,2726,5115
"437","8917","2020-02-12","0",1952,1092,11419
"438","8917","2020-02-13","0",1923,1481,3460
"439","8917","2020-02-14","0",2223,4794,2658
"440","8917","2020-02-15","1",1715,2922,416
"441","8917","2020-02-16","1",99,2370,2723
"442","8917","2020-02-17","0",1612,6330,2429
"443","8917","2020-02-18","0",7314,5071,5446
"444","8917","2020-02-19","0",233,2558,5587
"445","8917","2020-02-20","0",1129,3226,6695
"446","8917","2020-02-21","0",3062,2192,NA
"447","8917","2020-02-22","1",546,2298,18121
"448","8917","2020-02-23","1",293,1056,9960
"449","8917","2020-02-24","0",NA,NA,NA
"450","8917","2020-02-25","0",475,2185,5462
"451","8917","2020-02-26","0",787,34680,3705
"452","8917","2020-02-27","0",NA,NA,NA
"453","8917","2020-02-28","0",4608,1108,14122
"454","8917","2020-02-29","1",NA,NA,3802
"455","8917","2020-03-01","1",3226,946,2864
"456","8917","2020-03-02","0",NA,NA,0
"457","8917","2020-03-03","0",2241,326,5723
"458","8917","2020-03-04","0",5463,10487,0
"459","8917","2020-03-05","0",677,286,23
"460","8917","2020-03-06","0",10742,4271,3582
"461","8917","2020-03-07","1",836,5940,NA
"462","8917","2020-03-08","1",NA,NA,NA
"463","8917","2020-03-09","0",NA,NA,NA
"464","8917","2020-03-10","0",5822,338,4136
"465","8917","2020-03-11","0",2908,2302,3000
"466","8917","2020-03-12","0",2707,827,NA
"467","8917","2020-03-13","0",2170,2169,7306
"468","8917","2020-03-14","1",1042,270,24
"469","8917","2020-03-15","1",NA,NA,458
"470","8917","2020-03-16","0",4994,2556,135
"471","8917","2020-03-17","0",NA,NA,189
"472","8917","2020-03-18","0",3496,988,28
"473","8917","2020-03-19","0",572,3757,1417
"474","8917","2020-03-20","0",934,6085,1920
"475","8917","2020-03-21","1",2939,5574,468
"476","8917","2020-03-22","1",1727,6990,57
"477","8917","2020-03-23","0",7511,20274,2481
"478","8917","2020-03-24","0",108,1151,NA
"479","8917","2020-03-25","0",4182,4371,158
"480","8917","2020-03-26","0",1202,454,78
"481","8917","2020-03-27","0",82,1747,236
"482","8917","2020-03-28","1",1996,2877,13899
"483","8917","2020-03-29","1",NA,NA,NA
"484","8917","2020-03-30","0",952,4866,0
"485","8917","2020-03-31","0",443,4403,327
"486","8917","2020-04-01","0",5078,10308,1202
"487","8917","2020-04-02","0",NA,NA,2754
"488","8917","2020-04-03","0",206,8132,4346
"489","8917","2020-04-04","1",NA,NA,NA
"490","8917","2020-04-05","1",42,380,NA
"491","8917","2020-04-06","0",NA,NA,226
"492","8917","2020-04-07","0",4246,1698,248
"493","8917","2020-04-08","0",3165,8534,386
"494","8917","2020-04-09","0",4930,4537,585
"495","8917","2020-04-10","0",1523,3353,0
"496","8917","2020-04-11","1",2192,1046,4110
"497","8917","2020-04-13","0",118,464,0
"498","8917","2020-04-14","0",8597,5544,1896
"499","8917","2020-04-15","0",3328,9996,925
"500","8917","2020-04-16","0",2137,4606,286
"501","8917","2020-04-17","0",5907,4294,3079
"502","8917","2020-04-18","1",23868,4666,2903
"503","8917","2020-04-19","1",419,1968,0
"504","8917","2020-04-20","0",105,987,158
"505","8917","2020-04-21","0",400,509,NA
"506","8917","2020-04-22","0",NA,NA,87
"507","8917","2020-04-23","0",19,1454,6
"508","8917","2020-04-24","0",0,616,847
"509","8917","2020-04-25","1",NA,NA,294
"510","8917","2020-04-26","1",4498,16645,2687
"511","9105","2020-02-01","1",5098,3826,598
"512","9105","2020-02-02","1",263,1287,NA
"513","9105","2020-02-03","0",1821,10858,6458
"514","9105","2020-02-04","0",6490,2,2210
"515","9105","2020-02-05","0",2549,1088,2410
"516","9105","2020-02-06","0",NA,NA,NA
"517","9105","2020-02-07","0",34,1615,1115
"518","9105","2020-02-08","1",4329,2337,5495
"519","9105","2020-02-09","1",2170,2650,7232
"520","9105","2020-02-10","0",538,4639,5162
"521","9105","2020-02-11","0",2818,4156,94
"522","9105","2020-02-12","0",474,1985,6415
"523","9105","2020-02-13","0",605,1090,6223
"524","9105","2020-02-14","0",2145,5372,NA
"525","9105","2020-02-15","1",4329,1944,5397
"526","9105","2020-02-16","1",23997,1544,294
"527","9105","2020-02-17","0",NA,NA,1957
"528","9105","2020-02-18","0",NA,NA,NA
"529","9105","2020-02-19","0",2275,1536,52
"530","9105","2020-02-20","0",3207,67,2127
"531","9105","2020-02-21","0",505,2444,12987
"532","9105","2020-02-22","1",1,636,40
"533","9105","2020-02-23","1",3019,11828,3917
"534","9105","2020-02-24","0",1642,7313,19747
"535","9105","2020-02-25","0",1836,3473,5627
"536","9105","2020-02-26","0",2896,1599,1885
"537","9105","2020-02-27","0",1145,2911,6827
"538","9105","2020-02-28","0",119,4850,1076
"539","9105","2020-02-29","1",299,23,0
"540","9105","2020-03-01","1",799,341,7445
"541","9105","2020-03-02","0",NA,NA,NA
"542","9105","2020-03-03","0",7087,2442,0
"543","9105","2020-03-04","0",3151,2744,301
"544","9105","2020-03-05","0",3241,1218,0
"545","9105","2020-03-06","0",NA,NA,NA
"546","9105","2020-03-07","1",591,1464,9308
"547","9105","2020-03-08","1",593,1748,0
"548","9105","2020-03-09","0",1065,2798,1609
"549","9105","2020-03-10","0",243,394,NA
"550","9105","2020-03-11","0",1552,2067,2768
"551","9105","2020-03-12","0",NA,NA,23467
"552","9105","2020-03-13","0",NA,NA,7867
"553","9105","2020-03-14","1",456,14075,331
"554","9105","2020-03-15","1",3487,6305,48
"555","9105","2020-03-16","0",1093,2389,2737
"556","9105","2020-03-17","0",955,706,NA
"557","9105","2020-03-18","0",NA,NA,86
"558","9105","2020-03-19","0",NA,NA,NA
"559","9105","2020-03-20","0",1080,414,521
"560","9105","2020-03-21","1",2359,9256,87
"561","9105","2020-03-22","1",NA,NA,NA
"562","9105","2020-03-23","0",2700,24931,1061
"563","9105","2020-03-24","0",NA,NA,1539
"564","9105","2020-03-25","0",572,3694,1442
"565","9105","2020-03-26","0",4331,16737,5819
"566","9105","2020-03-27","0",567,3123,1045
"567","9105","2020-03-28","1",NA,NA,40
"568","9105","2020-03-29","1",NA,NA,2897
"569","9105","2020-03-30","0",7,781,0
"570","9105","2020-03-31","0",3352,5248,503
"571","9105","2020-04-01","0",97,243,NA
"572","9105","2020-04-02","0",576,4922,87
"573","9105","2020-04-03","0",1246,1552,2957
"574","9105","2020-04-04","1",NA,NA,NA
"575","9105","2020-04-05","1",NA,NA,506
"576","9105","2020-04-06","0",111,4812,0
"577","9105","2020-04-07","0",1825,8975,1287
"578","9105","2020-04-08","0",567,12785,43
"579","9105","2020-04-09","0",NA,NA,936
"580","9105","2020-04-10","0",2458,5140,0
"581","9105","2020-04-11","1",20374,10139,NA
"582","9105","2020-04-13","0",1011,2370,309
"583","9105","2020-04-14","0",455,180,495
"584","9105","2020-04-15","0",926,9829,0
"585","9105","2020-04-16","0",2721,3084,NA
"586","9105","2020-04-17","0",1138,1555,NA
"587","9105","2020-04-18","1",NA,NA,NA
"588","9105","2020-04-19","1",NA,NA,25
"589","9105","2020-04-20","0",NA,NA,355
"590","9105","2020-04-21","0",NA,NA,72
"591","9105","2020-04-22","0",NA,NA,441
"592","9105","2020-04-23","0",8597,5671,2025
"593","9105","2020-04-24","0",NA,NA,NA
"594","9105","2020-04-25","1",NA,NA,169
"595","9105","2020-04-26","1",576,4931,224
"596","11944","2020-02-01","1",NA,NA,NA
